date,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,mcd12c1_IGBP_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mod13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,insitu_sm
20210210.0,,0.2849489152431488,0.3405665755271911,,,0.2024300098419189,,,,,,,,,,,,,
20210212.0,,0.2659791111946106,,,,,0.2852565050125122,,,,,,,,,,,,
20210215.0,0.3954195380210876,0.2964201271533966,0.3540738821029663,,,,0.2486037760972976,12.0,0.1872417628765106,1.1977736949920654,280.9271240234375,2.3381481170654297,233.98292541503903,214.9594116210937,0.8932245969772339,0.2276946753263473,300.0,0.3668735325336456,0.3776
20210216.0,0.3920443654060364,0.2963005900382995,,,,,,,,,,,,,,,,,
20210217.0,0.3860169947147369,0.2812317609786987,0.3583864867687225,,,0.2659114599227905,0.3406170904636383,12.0,0.1872417628765106,1.1977736949920654,282.228515625,2.735501289367676,238.26416015625,218.7128448486328,1.1350295543670654,1.140068531036377,300.0,0.3654192686080932,0.35944
20210218.0,0.3907231390476227,0.2917104065418243,0.3619242906570434,,,,0.219244971871376,12.0,0.1872417628765106,1.1977736949920654,281.5876159667969,2.8952419757843018,237.567611694336,216.2675170898437,4.248288154602051,1.4232295751571655,300.0,0.3653583526611328,0.3577
20210219.0,0.3810457587242126,0.2802526950836181,,,,,0.41273233294487,,,,,,,,,,,,
20210220.0,0.3719796538352966,0.2874327600002289,0.3685503602027893,,,0.2564685642719269,0.2841578423976898,12.0,0.1872417628765106,1.1977736949920654,284.9421081542969,2.9114365577697754,236.54275512695312,216.3220367431641,0.6019007563591003,1.733889102935791,300.0,0.3682151734828949,0.35413
20210221.0,0.3704909384250641,0.283792495727539,,,,,,,,,,,,,,,,,
20210222.0,0.3826946318149566,0.285055935382843,,,,0.2562020719051361,0.3097933828830719,,,,,,,,,,,,
