date,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,mcd12c1_IGBP_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mod13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,insitu_sm
20150401.0,0.0241092760115861,0.1260406076908111,,,,,3.051850944757461e-05,,,,,,,,,,,,
20150402.0,0.0241887606680393,,0.0161783788353204,0.0538704954087734,0.0452066995203495,,0.0,10.0,0.1919224262237548,1.4669796228408811,287.3107604980469,0.1142241731286048,274.49139404296875,261.57647705078125,0.0017208415083587,0.093685008585453,200.0,0.0985092520713806,0.173125000670552
20150403.0,0.0243811998516321,,,,,,,,,,,,,,,,,,
20150406.0,0.0240338444709777,,,,,,3.051850944757461e-05,,,,,,,,,,,,
20150407.0,0.0240063723176717,,0.0188906099647283,0.0477690510451793,0.0450591035187244,,0.0003357036039233,10.0,0.1919224262237548,1.4669796228408811,287.0887451171875,0.1253441572189331,272.8741455078125,262.39263916015625,0.0,0.0951355248689651,200.0,0.115619920194149,0.161136364394968
20150408.0,0.0256634671241045,,,,,,,,,,,,,,,,,,
20150409.0,0.0312650427222251,,,,,,0.0007019257172942,,,,,,,,,,,,
20150410.0,0.0273351315408945,,0.0188819095492362,0.0555778481066226,0.0502126067876815,,,10.0,0.1919224262237548,1.4669796228408811,287.6344909667969,0.1341446936130523,271.24676513671875,260.1536865234375,7.585511866636807e-06,0.2815671265125274,200.0,0.1511212289333343,0.156650000810623
20150411.0,0.0249934904277324,,,,,,0.0010986663401126,,,,,,,,,,,,
20150412.0,0.0240702126175165,,0.0141788041219115,0.0507800690829753,0.0444259420037269,,0.0003662221133708,10.0,0.1919224262237548,1.4669796228408811,289.849853515625,0.1401123851537704,274.43585205078125,262.19189453125,0.0017268059309571,0.1128867790102958,200.0,0.1193273440003395,0.156875000024835
20150413.0,0.0238438267260789,,0.0150772398337721,0.0475233606994152,0.0411686263978481,,,10.0,0.1919224262237548,1.4669796228408811,290.3883361816406,0.1431065797805786,274.0199584960937,262.2774658203125,0.0030022792052477,0.1185422390699386,200.0,0.1274301260709762,0.154045453803106
20150414.0,0.023609921336174,,,,,,0.0010376293212175,,,,,,,,,,,,
20150415.0,0.0248847343027591,,0.0140356877818703,0.0551926344633102,0.0487658120691776,,,10.0,0.1919224262237548,1.4669796228408811,284.94921875,0.1491196900606155,272.56561279296875,260.6803283691406,0.4261006414890289,0.1078128516674041,200.0,0.103891983628273,0.149833332747221
20150416.0,0.0298936292529106,,,,,,,,,,,,,,,,,,
20150417.0,0.0596949756145477,,,,,,0.1351359635591507,,,,,,,,,,,,
20150418.0,0.1164351552724838,,0.1358098536729812,0.1524794399738311,0.1148129105567932,,,10.0,0.1919224262237548,1.4669796228408811,285.2637634277344,0.158201053738594,256.7440185546875,234.4731903076172,1.3276737928390503,2.0215210914611816,200.0,0.2262488305568695,0.144041667381922
20150419.0,0.0981978774070739,,,,,,0.0913113802671432,,,,,,,,,,,,
20150420.0,0.0806069374084472,,0.0571034252643585,0.0978165417909622,0.0823794975876808,,,10.0,0.1919224262237548,1.4669796228408811,288.51690673828125,0.1642903387546539,267.7371826171875,253.30235290527344,0.3386412560939789,1.8311090469360352,200.0,0.2079474627971649,0.148541667809089
20150421.0,0.0569435618817806,0.1457020193338394,0.0386709757149219,0.0661569833755493,0.0522686429321765,,,10.0,0.1919224262237548,1.4669796228408811,289.28302001953125,0.1673931777477264,273.174072265625,258.39453125,0.0080537274479866,1.456104040145874,200.0,0.1661438643932342,0.14937499910593
