date,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,mcd12c1_IGBP_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mod13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,insitu_sm
20150401.0,0.0534329526126384,0.0692355334758758,,,,,,,,,,,,,,,,,
20150402.0,0.0533250458538532,0.0626915618777275,0.0070330430753529,0.0199999995529651,0.020000010728836,0.0031493557617068,0.0,10.0,0.098533384501934,1.449712157249451,305.6869201660156,0.0120974443852901,296.3134155273437,274.00518798828125,0.0016941055655479,0.1433511823415756,200.0,0.0012704002438113,0.0141937499283813
20150403.0,0.0531936921179294,0.0548749528825283,,,,,,,,,,,,,,,,,
20150404.0,0.0530501753091812,0.0706364810466766,,,,,0.0009460737928748,,,,,,,,,,,,
20150405.0,0.0529057420790195,0.0882713496685028,0.0079528363421559,0.0229992661625146,0.0249884463846683,,0.0003357036039233,10.0,0.098533384501934,1.449712157249451,308.19354248046875,0.0058118347078561,295.5045166015625,274.5374755859375,0.000435113790445,0.1605858951807022,200.0,0.002196033950895,0.014354166710594
20150406.0,0.0527582615613937,0.0732106193900108,,,,,,,,,,,,,,,,,
20150407.0,0.0526015050709247,0.0725346803665161,,,,0.0068939598277211,,,,,,,,,,,,,
20150408.0,0.0524331741034984,0.075576327741146,0.0066832406446337,0.0237966496497392,0.0241161007434129,,,10.0,0.098533384501934,1.449712157249451,308.6038513183594,0.0036800764501094,296.906005859375,275.11248779296875,0.0034428494982421,0.1689647883176803,200.0,0.0019999668002128,0.0143999999854714
20150409.0,0.0522818900644779,0.0692989751696586,,,,,,,,,,,,,,,,,
20150410.0,0.0521166771650314,0.0707049742341041,0.0111145777627825,0.0263867080211639,0.0291694439947605,0.0052064582705497,,10.0,0.098533384501934,1.449712157249451,308.15069580078125,0.0094490516930818,296.0390625,274.5501708984375,0.0,0.1592655181884765,200.0,0.00206900248304,0.0142666666264025
20150411.0,0.0519574172794818,0.0671665966510772,,,,,,,,,,,,,,,,,
20150412.0,0.0518252402544021,0.0738316848874092,,,,0.0021539679728448,0.0082705160602927,,,,,,,,,,,,
20150413.0,0.0517006739974021,0.0697784721851348,0.0088335741311311,0.0199999995529651,0.020000010728836,,,10.0,0.098533384501934,1.449712157249451,304.7841796875,0.017644727602601,296.7208251953125,276.7292175292969,0.0030022792052477,0.1220719292759895,200.0,0.0006977616576477,0.0140479166487542
20150414.0,0.051577940583229,0.0664391070604324,,,,,,,,,,,,,,,,,
20150415.0,0.0514465421438217,0.0745241418480873,,,,,,,,,,,,,,,,,
20150416.0,0.0513191930949687,0.0660446733236312,0.009046021848917,0.0208681561052799,0.020000010728836,,,10.0,0.098533384501934,1.449712157249451,303.6533508300781,0.0258940644562244,294.85076904296875,272.8842163085937,0.000435113790445,0.1142313107848167,200.0,0.0011511684861034,0.0139145832314777
20150417.0,0.0511911027133464,0.0863471031188964,,,,,0.0437025055289268,,,,,,,,,,,,
20150418.0,0.0510571226477623,0.0595408231019973,0.0109721412882208,0.0199999995529651,0.0244056768715381,,,10.0,0.098533384501934,1.449712157249451,304.8531494140625,0.0314381048083305,294.2735900878906,275.2584533691406,0.0017116778763011,0.1185174360871315,200.0,0.0010849622776731,0.0139458332366
20150419.0,0.0509251281619071,0.0817185416817665,,,,,,,,,,,,,,,,,
20150420.0,0.0507718436419963,0.0766345709562301,,,,0.0018225495005026,0.0,,,,,,,,,,,,
