date,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,mcd12c1_IGBP_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mod13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,insitu_sm
20191227.0,0.3643794655799866,,,,,,,,,,,,,,,,,,
20191228.0,,,0.2276828438043594,0.2528395056724548,0.2560672461986542,,0.2276070415973663,,,,,,,,,,,,
20191229.0,,,,0.1673347353935241,0.1587430983781814,,,,,,,,,,,,,,
20191230.0,0.3494011461734772,,,,,,0.1313516646623611,,,,,,,,,,,,
20191231.0,0.3450664281845093,,0.1456168293952942,0.1614264398813247,0.1542856693267822,,0.1048616021871566,12.0,0.2679103314876556,1.212926983833313,275.3069763183594,2.349700689315796,253.52096557617188,235.6217041015625,0.0394815318286418,0.2092480212450027,300.0,0.2438695132732391,0.19694
20200102.0,,,,0.1528860181570053,0.1469687223434448,,0.1355021893978119,,,,,,,,,,,,
20200104.0,0.3594934344291687,,,,,,0.2455214112997055,,,,,,,,,,,,
20200105.0,0.3636379539966583,0.3506440818309784,0.2123759984970092,0.2662253677845001,0.2471320480108261,,0.2265999317169189,12.0,0.2679103314876556,1.212926983833313,274.08282470703125,2.316638708114624,239.9314727783203,218.28787231445312,0.0934289619326591,0.15365631878376,300.0,0.2675040364265442,0.18143
20200106.0,0.3528758883476257,0.3542388081550598,0.2175361514091491,0.246938556432724,0.2452414482831955,,,12.0,0.2679103314876556,1.212926983833313,274.6895446777344,2.3107495307922363,240.1986389160156,215.2543029785156,0.0483413413166999,0.1914883553981781,300.0,0.260818600654602,0.18801
20200107.0,0.3474145829677582,,,,,,0.1251869201660156,,,,,,,,,,,,
20200109.0,0.4012853503227234,0.3764371573925018,,,,,0.2186346054077148,,,,,,,,,,,,
20200115.0,0.3495112955570221,,,,,,0.2284005284309387,,,,,,,,,,,,
20200116.0,0.3458448648452759,0.3222337663173675,,0.2255179584026336,0.2133864015340805,,,12.0,0.2679103314876556,1.212926983833313,279.0967102050781,2.2517411708831787,247.37713623046875,225.1629943847656,0.0303854662925004,0.1873986721038818,300.0,0.2628678679466247,0.213745
20200118.0,0.3425588011741638,0.3276433050632477,0.2008998095989227,0.2176313251256942,0.2123917788267135,,0.1455427706241607,12.0,0.2679103314876556,1.212926983833313,276.475830078125,2.2441391944885254,246.55813598632807,222.57945251464844,0.1207294762134552,0.3946505188941955,300.0,0.2558073401451111,0.2142949999999999
20200119.0,0.3421725630760193,,0.1996064037084579,0.2332830727100372,0.2154088318347931,,,12.0,0.2679103314876556,1.212926983833313,275.3388671875,2.2428503036499023,245.12173461914065,224.3777008056641,0.5962905883789062,0.3149677217006683,300.0,0.263727605342865,0.209645
20200120.0,,0.3212191462516784,,,,,0.1717276573181152,,,,,,,,,,,,
20200121.0,,,,0.1489611119031906,0.14337158203125,,,,,,,,,,,,,,
20200122.0,,,,0.1404234766960144,0.1369126141071319,,0.0808435305953025,,,,,,,,,,,,
20200123.0,,0.3299278318881988,,,,,0.1256141811609268,,,,,,,,,,,,
20200124.0,,,,0.1461918950080871,0.1417450904846191,,,,,,,,,,,,,,
20200125.0,,,,,,,0.110721156001091,,,,,,,,,,,,
20200126.0,,,,0.145814836025238,0.1410090029239654,,0.0655842795968055,,,,,,,,,,,,
20200127.0,0.3353796601295471,,0.1292071342468261,0.1516992747783661,0.1456803232431411,,0.1217078194022178,12.0,0.2679103314876556,1.212926983833313,276.8873291015625,2.228682041168213,253.60513305664065,236.8750915527344,2.4075422286987305,0.3828859329223633,300.0,0.2471358329057693,0.211735
20200128.0,0.3686921298503876,,,,,,0.2610248029232025,,,,,,,,,,,,
20200129.0,0.3587831854820251,,0.2058321088552475,0.2522936761379242,0.241558164358139,,,12.0,0.2679103314876556,1.212926983833313,275.37811279296875,2.225177049636841,240.1241149902344,216.8120880126953,0.3480951189994812,0.5861107110977173,300.0,0.2718940377235412,0.233845
20200130.0,0.3489079773426056,0.3419702649116516,0.2104425579309463,0.2532469928264618,0.2543971538543701,,0.1919003874063491,12.0,0.2679103314876556,1.212926983833313,277.5911560058594,2.223449945449829,239.9725341796875,214.1397399902344,0.0865453630685806,0.4320866167545318,300.0,0.2688736319541931,0.229015
20200131.0,0.3460653424263,0.3473299741744995,,,,,0.2104251235723495,,,,,,,,,,,,
20200201.0,0.3709760904312134,0.3291296660900116,,,,,0.2280037850141525,,,,,,,,,,,,
20200202.0,0.3947297036647796,0.3612513244152069,,,,,0.2144230455160141,,,,,,,,,,,,
