land_cover_types,insitu_sm,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm
12,0.0307583330043902,0.0355855599045753,0.2703937590122223,0.1573413461446762,0.0509213022887706,0.0406920462846756,0.0418934412300586,0.0435970500111579,0.0205694753676652
12,0.106379166866342,0.0647324174642562,0.3088902831077575,0.240907534956932,0.1830090880393982,0.1666416674852371,0.1769180744886398,0.1637904942035675,0.1985229104757309
12,0.162195833399892,0.0955137237906456,0.4644707441329956,0.2879880666732788,0.2933847904205322,0.2584152519702911,0.2760535776615143,0.2441587299108505,0.2733237743377685
10,0.132683333630363,0.1437312811613083,0.4642087519168854,0.3041688799858093,0.3394385576248169,0.3353101909160614,0.3505513668060303,0.2722275257110595,0.2952970862388611
10,0.148020834351579,0.1188182607293129,0.4578099846839905,0.284273624420166,0.2996195256710052,0.2522040009498596,0.2692380249500274,0.2211910933256149,0.3555711507797241
10,0.0490874994235734,0.080425776541233,0.4526696801185608,0.2510008513927459,0.1866213828325271,0.1676040440797805,0.1731785237789154,0.1363609731197357,0.1650746166706085
12,0.0393208339810371,0.0692213028669357,0.4422210156917572,0.2523193657398224,0.1523477733135223,0.1589447855949401,0.1657862663269043,0.1088254153728485,0.1455732882022857
10,0.0144416666977728,0.0265293829143047,0.1845811158418655,0.1222679018974304,0.0668735802173614,0.0701808854937553,0.0895032882690429,0.0462999567389488,0.0460524298250675
10,0.0138854167307727,0.0151160564273595,0.1843331903219223,0.1145136281847953,0.0543616078794002,0.0539321824908256,0.0650616362690925,0.0447020530700683,0.0476088747382164
10,0.0135458332564061,0.0152939753606915,0.1842114627361297,0.1176992803812027,0.0555021837353706,0.0592137984931468,0.0655901804566383,0.044870238751173,0.0437940619885921
10,0.0130645833560266,0.0319290198385715,0.184069886803627,0.1001783013343811,0.0619212128221988,0.0569085925817489,0.0736521035432815,0.0456069819629192,0.0448316894471645
12,0.0128187500134421,0.0253688935190439,0.1840350776910781,0.0952255800366401,0.0594528876245021,0.054981280118227,0.049394566565752,0.029135750606656,0.0306100659072399
12,0.0109395833957629,0.0269715283066034,0.1837625056505203,0.0803040787577629,0.0508243665099144,0.0446103028953075,0.0542705990374088,0.0333476588129997,0.0210272539407014
12,0.0132545833087837,0.0773832947015762,0.2065443843603134,0.1612916141748428,0.1932149231433868,0.1927790641784668,0.2011804580688476,0.1956194192171096,0.2430799305438995
10,0.0121458332481173,0.0458212345838546,0.1878440529108047,0.12249705940485,0.0838253274559974,0.1021898165345192,0.1076686680316925,0.0628166422247886,0.0645771697163581
12,0.0985229169018567,0.0948977693915367,0.462785929441452,0.2611596882343292,0.2330870628356933,0.1873661577701568,0.2030350863933563,0.1755460798740387,0.2010559439659118
12,0.1374000005113585,0.1187772527337074,0.4625567495822906,0.2846124768257141,0.2830229103565216,0.2481786608695984,0.269150823354721,0.2195923328399658,0.300210565328598
10,0.2065625010679165,0.1456431746482849,0.4724444448947906,0.3069702684879303,0.3499939143657684,0.3198467791080475,0.3358703553676605,0.2753485143184662,0.3091525137424469
12,0.193650000418226,0.1250587850809097,0.4779990613460541,0.3002753257751465,0.3490146696567535,0.2968135774135589,0.3071392774581909,0.2227947413921356,0.2757042050361633
12,0.1815729156757395,0.1259361058473587,0.477265864610672,0.3070966601371765,0.3129300475120544,0.2645300626754761,0.2845141589641571,0.2444953620433807,0.2971892356872558
5,0.121114583685994,0.0832715556025505,0.4484032392501831,0.2637313902378082,0.2014933377504348,0.1672994643449783,0.1736780554056167,0.1266140937805175,0.1579027622938156
9,0.0258583336447676,0.0269807279109954,0.1848117113113403,0.1500095427036285,0.0514387227594852,0.0647573620080947,0.0871011614799499,0.0313948690891265,0.0206305123865604
10,0.0237565217944591,0.0302885361015796,0.1844395995140075,0.1414317190647125,0.0529680922627449,0.0672167390584945,0.0873877480626106,0.0485563687980175,0.0506607256829738
1,0.0216000000946224,0.0223753470927476,0.1841301470994949,0.1239659711718559,0.0691173151135444,0.0672025233507156,0.0810780525207519,0.0409835092723369,0.0464796908199787
9,0.0201541668114563,0.0277335532009601,0.1839838773012161,0.1284296065568924,0.0682717859745025,0.0687756314873695,0.084090419113636,0.0412537939846515,0.0375682860612869
9,0.0158041666727513,0.0245933812111616,0.1837537735700607,0.093672901391983,0.0658872202038765,0.0628539994359016,0.083741508424282,0.0255835726857185,0.0158085878938436
12,0.0157249999465421,0.009077301248908,0.1837361007928848,0.073305994272232,0.0565257631242275,0.0529882796108722,0.0550668984651565,0.0427779406309127,0.0412915423512458
12,0.0164625001295159,0.0265786591917276,0.1836884915828704,0.0912290960550308,0.0707184746861457,0.0657159760594368,0.0846132189035415,0.0439443625509738,0.0468153953552246
12,0.0153749999202167,0.0152574805542826,0.1836638003587722,0.0789230912923812,0.0636555254459381,0.0597586035728454,0.076986588537693,0.0354470796883106,0.0286873988807201
12,0.0152000000622744,0.0310438219457864,0.1837070882320404,0.0842536240816116,0.0637872219085693,0.0702022463083267,0.0801008567214012,0.0326618291437625,0.0263069551438093
12,0.0153489012148354,0.0188110340386629,0.1836665719747543,0.0785589963197708,0.0594903081655502,0.0516847483813762,0.0426132678985595,0.0461042560636997,0.0444044321775436
12,0.0153708333382382,0.042741697281599,0.1834586858749389,0.1053078919649124,0.0471346750855445,0.0602997913956642,0.0684735178947448,0.018060777336359,0.0239570308476686
12,0.0546812501270324,0.0455393232405185,0.3007337152957916,0.1889539659023285,0.104542426764965,0.0923311412334442,0.0988179892301559,0.0663856714963913,0.0762657523155212
12,0.159670832877358,0.105184756219387,0.466583639383316,0.2831104397773742,0.3388305604457855,0.288865178823471,0.3108096718788147,0.2447623312473297,0.3255104124546051
10,0.157095832750201,0.1185274869203567,0.4546294212341308,0.2863959372043609,0.3304733037948608,0.2799192368984222,0.29620361328125,0.2343731969594955,0.28241828083992
8,0.1114291665144265,0.1044314950704574,0.4722323715686798,0.2669846415519714,0.2787162959575653,0.2313973754644394,0.2342498004436493,0.1742921322584152,0.204077273607254
1,0.176797915560504,0.1098256260156631,0.4474869668483734,0.2912848591804504,0.2600860595703125,0.2035467028617859,0.2133820056915283,0.1743296086788177,0.2058473527431488
9,0.0414937506429851,0.0203850846737623,0.1881032139062881,0.1560346037149429,0.0515512973070144,0.0657318979501724,0.0863883420825004,0.0237360224127769,0.0181279946118593
1,0.0338229166033367,0.0317409634590148,0.1850802451372146,0.1450420618057251,0.0568902008235454,0.0624183155596256,0.0887306854128837,0.047572873532772,0.0517899096012115
1,0.0318749997531995,0.0257175415754318,0.1882008761167526,0.1498601585626602,0.0620797052979469,0.058146234601736,0.0757911577820777,0.0395927876234054,0.0408948026597499
1,0.0272166665721063,0.0275616608560085,0.1842810064554214,0.1321992129087448,0.0547415688633918,0.0518805161118507,0.0760471150279045,0.0466926097869873,0.047853022813797
12,0.0251583336309219,0.0299870483577251,0.1840759664773941,0.1267978399991989,0.0546235591173172,0.0558552779257297,0.0731060802936554,0.0359944030642509,0.0387585088610649
12,0.126358333975077,0.082288846373558,0.3792614042758941,0.2191394567489624,0.1830090880393982,0.1677013635635376,0.178517997264862,0.1637904942035675,0.1985229104757309
12,0.187637501085798,0.1141542196273803,0.4853868186473846,0.2917961776256561,0.2933847904205322,0.2560009956359863,0.2714041173458099,0.2441587299108505,0.2733237743377685
12,0.185390909287063,0.1333480179309845,0.4812302589416504,0.2833711802959442,0.2996195256710052,0.2685180008411407,0.2720302939414978,0.2211910933256149,0.3555711507797241
10,0.15097083337605,0.0969239845871925,0.4779870212078094,0.2765997648239136,0.2494377046823501,0.1964566111564636,0.2051751315593719,0.1833325028419494,0.2149113416671753
10,0.078912499671181,0.0823909118771553,0.4589966237545013,0.2274972945451736,0.1866213828325271,0.1710906326770782,0.1760109663009643,0.1363609731197357,0.1650746166706085
10,0.0620666667819023,0.065142810344696,0.457435131072998,0.2457058876752853,0.1523477733135223,0.1386864781379699,0.1460084915161132,0.1088254153728485,0.1455732882022857
12,0.0165583333000541,0.0319140553474426,0.2446411103010177,0.1219759359955787,0.0668735802173614,0.0768189877271652,0.1005505546927452,0.0462999567389488,0.0460524298250675
