pixel_id,lat,lon,land_cover_types,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm
AMMA-CATCH_1,9.744685173,1.605549992,12,-0.006448886047755871,0.22677824672748836,0.11572173778759778,0.08074115340813479,0.06783162616098405,0.08063919380921887,0.04095664314298596,0.059038590017999035
AMMA-CATCH_2,9.789859772,1.709939957,12,-0.00045835113151164946,0.26759599412896606,0.10942414914983882,0.07559100274412209,0.06386161579855655,0.07584346773725457,0.03518284386232537,0.05381114780697599
AMMA-CATCH_3,9.795060158,1.709939957,12,-0.040190370004059214,0.23274501246341361,0.07314323750975311,0.04352892981384207,0.02754698314113003,0.040153198848732974,0.0006407423653035837,0.019757822661382905
AMMA-CATCH_4,13.53250027,2.660399914,10,-0.006691486642760183,0.0448827526799965,0.0756452216671183,-0.0027435480519499276,0.016671946860104186,0.01999346957063105,-0.002443909528570451,-0.0037215245778792
AMMA-CATCH_5,13.54800034,2.695600033,10,-0.00863756366527493,0.042498041059232196,0.07421758282804955,-0.005739951342057394,0.01517404002834532,0.01837617490315902,-0.00528915473001205,-0.0054839276710176256
AMMA-CATCH_6,13.64560032,2.631999969,10,0.004620867906187577,0.04411232615025743,0.07476876263148309,-0.005034428154724457,0.0162908561212492,0.018775409304367698,-0.004734357009994973,-0.004877310397330096
ARM_1,35.88000107,-98.17299652,12,-0.015006568303012875,0.04710070755190505,0.03284220617024912,-0.06464094789950492,-0.03336391059470928,-0.03435338831094951,-0.08091836330957868,-0.06217042283875501
ARM_2,35.86149979,-97.06950378,10,0.008544759430786256,-0.005583685890303005,-0.06491313655294997,-0.07796272517632197,-0.06258388916613836,-0.0801919847555346,-0.13979602925421683,-0.11559814046079307
ARM_3,36.11660004,-97.51119995,10,0.019033180580831997,0.05603298121458131,0.03912433038251796,-0.04098937404952655,0.0009451879708740232,-0.0017891371499136224,-0.038488231193506355,-0.024771069404410744
ARM_5,36.37353897,-97.06905365,10,0.019195079908095998,0.03497276776399757,0.019356858030123287,-0.024574299980370983,-0.009503534865488564,-0.017219605427292808,-0.058125297230113226,-0.0464672118893099
ARM_6,36.31937027,-96.76203156,10,0.00937802663629395,0.01956186236712711,-0.006431887716553132,-0.08533704633797654,-0.04569023557729149,-0.05611546354542329,-0.10960995744247798,-0.10647782671092339
ARM_7,36.43099976,-98.28399658,12,0.011077501808133296,0.15742178360190778,0.037080786532157635,0.0398111545107065,0.07938746338333821,0.07966141521878266,0.021202963215977404,0.042908400997764565
ARM_8,36.60593266,-97.48726652,12,-0.012273560731260845,0.035357154059427784,0.021404882667479714,-0.05149189438453866,-0.02193641906594124,-0.01034944440124651,-0.06832341562946524,-0.04639578636829111
ARM_10,36.81915012,-97.81985026,12,-0.010395232712586196,0.02007063534289172,0.01585682957215472,-0.07337733264620018,-0.052488371961432786,-0.04538179002309752,-0.10619110868979717,-0.0889085694283992
ARM_11,36.8409996,-96.42700195,10,0.012294894035636343,-0.024097652799763468,0.025506976677101667,-0.04405407763210752,-0.029685149254517044,-0.034156440229380025,-0.08742018527830603,-0.055298749228765195
ARM_12,36.92599869,-97.08200073,12,0.010211269900313966,0.07731243178014317,0.061435680717152434,0.02010501612168128,0.029758110428835322,0.03585051025914044,-0.022540625669516798,-0.004611174105826512
ARM_13,37.06940079,-97.76059723,12,-0.04257585136519989,-0.020650676613497412,-0.026911035199528262,-0.1115088705934795,-0.08681376210220951,-0.07321836207471702,-0.1292750186042961,-0.10720589309135257
ARM_14,37.06800079,-95.78800201,10,0.03472997855842519,0.09473786351541583,0.05776231923929904,0.017513331491023205,0.025316566552584217,0.023032938512862002,-0.03290258161181862,-0.00846943509800874
ARM_15,37.13299942,-97.26599884,12,0.0042656892733317015,0.04786592672801855,0.036823299887290876,-0.03256885778867362,0.0018448582061101932,0.01834317886227355,-0.05823774169774582,-0.029842952555477774
ARM_16,37.21340179,-98.09690094,12,-0.019631963532141115,0.042433520200498065,0.021236372631124035,-0.06427487741039924,-0.03714726038386707,-0.028560900389283057,-0.09493712038916148,-0.06835343578694834
BE_2,50.30490112,5.9981,5,0.009636095662911712,-0.002730665284962897,-0.06047792640470325,-0.08390843531205543,-0.044128706980319274,-0.004892521387054822,-0.18353941445460634,-0.10968032879311414
BIEBRZA_1,53.60578113,22.87849998,9,-0.01813733113002896,0.05894176709461094,-0.26900980723095064,-0.3556963786948931,-0.3132155887503636,-0.288290690453769,-0.39673706372273093,-0.35038647887301566
BIEBRZA_2,53.63311005,22.98067983,10,-0.0045359288268979015,0.16658374240527266,-0.10386906543841254,-0.20094323133730513,-0.16659056225886237,-0.14468136897819198,-0.24644507043779182,-0.20023687289708478
CA_6,55.1119,-122.8414,1,0.002746691713567628,0.018652308060497527,0.0015974381908041375,0.15166986379467076,0.17239692367491177,0.1359556815663322,0.07014896561864946,0.11261362423662279
CH_4,47.28639984,7.733699799,9,0.007209315960541416,4.586138766547821e-06,-0.008929866216915525,-0.04933253369290077,-0.13264945278436077,-0.10949335405320834,-0.26337276724090575,-0.20812671908149216
COSMOS-UK_2,51.20288849,-2.079600096,9,0.023221158082650774,0.16084257722642367,0.09349329570388815,-0.020192805957445967,0.02963530361432436,0.0318890730606089,-0.06980689171884055,-0.039900899573716224
COSMOS-UK_4,51.53031921,-1.481870055,12,-0.004161956633115613,0.10885411677262705,0.020685123451294973,-0.07158857942754868,-0.0324068511051511,-0.02998758635510393,-0.13273432213924446,-0.10034325583187313
COSMOS-UK_5,51.70801926,-1.478770018,12,-3.7687631031759425e-05,0.10650989069477963,0.058149235645671565,-0.029865188904411893,0.014077299684964873,0.019112591550151745,-0.09211065717957659,-0.06022128342670817
COSMOS-UK_9,52.02088165,-2.66211009,12,0.00126204742187172,0.05343904674701815,-0.004438510941053923,-0.04132557527292159,-0.00024820602903788446,-0.00020212027954461204,-0.10437291932498644,-0.05682321267408859
COSMOS-UK_10,52.19940948,-1.563079953,12,-0.0047663416680070216,0.1720389439784918,0.07811971886905811,-0.0026205454494636423,0.02359719165003574,0.032625433122372594,-0.09308630393131324,-0.037748145236394505
COSMOS-UK_12,52.09465027,0.993070006,12,-0.015756600588763044,0.02731159813318675,0.01576140430849882,-0.13607406088479687,-0.09476901326054545,-0.09758636741773681,-0.1584813430912381,-0.14163677390234325
