pixel_id,lat,lon,land_cover_types,valid_number
ES_3,38.701839,-6.785881,12,178
ES_4,39.9386419,-5.777282,9,175
FI_5,67.75489807,29.61,9,215
FLUXNET-AMERIFLUX_3,38.42959937,-120.9649398,10,166
FMI_1,67.15287781,26.72913933,8,328
FMI_2,67.3656133,26.65486225,8,378
FMI_3,67.2572937,26.74856949,8,355
FR_3,43.549653,1.106096,12,179
FR_5,44.48163033,-0.76275,8,117
FR_6,44.46699905,-0.726899981,8,138
FR_8,47.32289886,2.284100056,5,93
FR_10,48.67409897,7.064650059,5,148
HOAL_1,48.15416924,15.14937095,12,112
HOAL_2,48.15803909,15.14731026,12,65
HOBE_1,55.90250015,8.917499542,14,40
HOBE_2,55.88069916,9.014200211,14,62
HOBE_3,55.86925125,9.281400204,12,118
HOBE_4,55.9095993,8.853599548,12,59
HOBE_5,55.91916529,8.913633347,9,133
HOBE_8,55.98023351,9.184733391,12,123
HOBE_9,56.04173279,9.131866773,12,126
HOBE_10,56.03700104,9.18355999,12,123
HOBE_11,56.07329941,9.33370018,12,64
MonteBuey_1,-32.97,-62.45,12,47
OZNET_1,-35.38977814,147.4571991,12,94
OZNET_2,-35.3939209,147.5661774,12,125
OZNET_3,-35.27201843,147.4290161,12,94
OZNET_4,-35.32395172,147.5348053,12,73
OZNET_5,-35.22750092,147.4850006,12,103
OZNET_7,-35.10974884,145.9355316,10,164
OZNET_8,-35.09024811,146.3064728,10,155
OZNET_10,-35.06959915,146.1689301,10,145
OZNET_11,-35.00534821,146.3098755,10,109
OZNET_12,-34.96776962,146.0163269,12,157
OZNET_13,-34.84262085,145.8669128,12,137
OZNET_14,-34.85182953,146.1152954,10,164
OZNET_15,-34.8469696,146.4139862,12,162
OZNET_16,-34.71942902,146.0200348,10,169
OZNET_17,-34.65478134,146.1102753,10,74
OZNET_18,-34.72835159,146.2931671,10,138
OZNET_19,-34.62887955,145.8489532,10,181
Quebec_1,56.55308,76.47258,8,128
REMEDHUS_1,41.14894104,-5.397570133,12,77
REMEDHUS_2,41.23923111,-5.544270039,12,207
REMEDHUS_3,41.19405938,-5.446329832,12,205
REMEDHUS_4,41.19602966,-5.359970093,12,195
REMEDHUS_5,41.27473068,-5.591899872,12,227
REMEDHUS_6,41.28919983,-5.467130184,12,212
REMEDHUS_7,41.28543091,-5.378074885,12,213
REMEDHUS_8,41.29277993,-5.273535013,12,208
REMEDHUS_9,41.37337875,-5.548500061,12,230
REMEDHUS_10,41.3651104,-5.459745169,10,227
REMEDHUS_11,41.39085007,-5.352580071,12,208
REMEDHUS_12,41.3939209,-5.32145977,12,214
REMEDHUS_13,41.34709167,-5.224740028,12,179
REMEDHUS_14,41.45117569,-5.384849787,7,207
RISMA_3,49.51950836,-97.95648956,12,32
RISMA_4,49.49250031,-97.93373871,12,30
RISMA_6,49.69785881,-97.99338341,12,31
RISMA_11,51.38164139,-106.4158325,12,30
RSMN_1,43.97780991,25.3528595,12,129
RSMN_2,44.10710907,24.97871971,12,141
RSMN_3,44.20571899,27.33852005,12,143
RSMN_4,44.47616959,23.11289978,12,185
RSMN_5,44.44210815,24.35445976,12,119
RSMN_6,44.55278015,27.38372993,12,74
RSMN_7,44.73443985,28.34225082,12,80
RSMN_8,45.38290024,21.13625908,12,115
RSMN_9,45.84164047,27.40900993,12,145
RSMN_10,46.07155991,20.6015892,12,123
RSMN_11,46.2278595,24.59160995,9,127
RSMN_12,46.23313141,27.64438057,12,155
RSMN_13,46.51868057,21.54177094,12,73
RSMN_14,47.03580093,21.89612007,12,131
RSMN_15,47.12796021,23.8989296,9,95
RSMN_17,47.35829926,26.92546082,12,165
RSMN_18,47.72143936,22.88736916,12,135
RSMN_19,48.19477081,26.57324982,12,121
RU_1,56.45455742,32.91198985,5,148
SD_1,13.28289986,30.47830009,10,93
SE_1,56.09762955,13.41897011,5,83
SE_3,64.18199921,19.55649948,8,270
SE_4,64.21430588,19.75625043,8,302
SMAPVEX_1,41.71343,-73.63094,4,35
SMAPVEX_3,41.802,-73.6272,4,38
SMAPVEX_4,41.75792,-73.51630667,4,35
SMAPVEX_7,41.84381,-73.61859333,8,37
SMAPVEX_8,41.8385,-73.50703,8,33
SMAPVEX_10,41.9450425,-73.59694,4,38
SMAPVEX_11,41.941017,-73.49616,4,33
SMAPVEX_18,42.64611,-72.168315,5,37
SMAPVEX_19,42.65067,-72.138575,5,30
SMAPVEX_20,42.62835,-72.02762,5,33
SMAPVEX_21,42.66071,-72.14417,5,33
SMOSMANIA_1,42.95999908,2.529999971,8,188
SMOSMANIA_2,43.19219971,1.643599987,12,159
SMOSMANIA_4,43.44169998,1.879999995,12,178
SMOSMANIA_6,43.54719925,0.887799978,12,181
SMOSMANIA_7,43.63970184,-0.435000002,14,106
SMOSMANIA_8,43.66640091,0.221699998,12,189
SMOSMANIA_12,43.99359894,-0.0469,14,161
SMOSMANIA_13,43.97439957,0.336100012,12,192
SMOSMANIA_14,44.14749908,-0.845600009,8,192
SMOSMANIA_15,44.24300003,4.010169983,5,185
SMOSMANIA_16,44.22200012,4.344830036,8,158
SMOSMANIA_17,44.66600037,4.159830093,8,133
SMOSMANIA_19,44.7338295,4.08382988,8,158
SOILSCAPE_3,31.74338605,-110.0526128,10,156
SOILSCAPE_4,31.73692998,-109.9442413,10,154
SOILSCAPE_6,32.60226186,-106.7574955,7,205
SOILSCAPE_10,38.15317211,-120.7905365,10,55
SOILSCAPE_11,38.39255397,-120.9053593,10,52
TAHMO_2,9.400830269,-1.001909971,12,31
TERENO_1,50.51490021,6.375589848,5,178
TWENTE_1,52.06747055,6.656770229,9,51
TWENTE_2,52.19593811,6.304840088,9,73
TWENTE_3,52.19388962,6.417500019,9,163
TWENTE_4,52.14035034,6.559649944,9,115
TWENTE_5,52.19104004,6.668270111,9,127
TWENTE_8,52.25393422,6.570563316,9,107
TWENTE_11,52.40528107,6.379909992,9,120
TWENTE_12,52.3678093,6.535250187,9,146
TWENTE_13,52.41945076,6.540570021,14,134
US_1,27.3836,-81.9509,9,110
US_2,31.7894,-110.8277,10,165
US_3,31.8173,-110.8508,7,128
US_6,32.582,-106.635,7,82
US_7,32.5849,-106.6032,7,113
US_10,34.3349,-106.7442,7,87
US_11,34.3623,-106.702,10,79
US_12,34.4385,-106.2377,10,78
US_13,34.4255,-105.8615,10,91
US_28,39.2322,-92.1493,12,76
US_29,39.22980118,-92.11669922,12,78
US_30,39.3232,-86.4131,4,66
US_31,40.0341502,-105.5436506,8,70
US_35,41.1651,-96.4766,12,54
US_36,41.3665,-106.2399,8,64
US_37,43.0926,-116.73585,10,36
US_38,43.17193304,-116.7331012,10,132
US_40,44.06425,-71.2877,4,67
US_41,44.3233,-121.6078,8,112
US_42,44.4526,-121.5589,1,124
US_46,45.2091,-68.747,5,119
US_54,46.758,-116.949,12,41
US_56,46.991,-118.598,10,45
US_58,64.696675,-148.3216,8,34
US_60,68.60655,-149.29995,7,67
USCRN_1,26.5258007,-98.06330109,10,140
USCRN_2,27.15259933,-81.36889648,9,61
