land_cover_types,insitu_sm,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm
10.0,0.242077780101034,0.3569535911083221,0.3815313875675201,0.3043555915355682,0.360980749130249,0.4045520424842834,0.4157657623291015,0.2708706557750702,0.2765282094478607
12.0,0.24812916573137,0.3108073770999908,0.3633659780025482,0.2922916114330292,0.2977811396121979,0.274090439081192,0.3014950752258301,0.2561999559402466,0.2443311810493469
12.0,0.119118749784927,0.2080828696489334,0.298002541065216,0.2538582682609558,0.1454817950725555,0.1893416494131088,0.1924514174461364,0.0333610251545906,0.1484725475311279
12.0,0.106187232948364,0.1763173788785934,0.2472646683454513,0.2507075667381286,0.1169517710804939,0.1636106222867965,0.1708651632070541,0.0422708876430988,0.1421857327222824
10.0,0.268672914865116,0.2992841601371765,0.4076516032218933,0.2487135529518127,0.1679827272891998,0.2366308867931366,0.2439498603343963,0.1623196303844452,0.2479934096336364
10.0,0.266420832524697,0.2863337397575378,0.3869305849075317,0.2667893171310425,0.1786436736583709,0.25861257314682,0.2595723867416382,0.1776309311389923,0.2229072004556656
12.0,0.242884782345399,0.2855849266052246,0.400767832994461,0.2711449861526489,0.1698883473873138,0.223882645368576,0.2352966070175171,0.0554295219480991,0.1543015837669372
12.0,0.267568749686082,0.2822310030460357,0.3936753571033478,0.2765763998031616,0.1781922578811645,0.2302662283182144,0.2424814403057098,0.1691468954086303,0.2267220020294189
10.0,0.23545208449165,0.2463577687740326,0.3605413138866424,0.2572965919971466,0.1620032042264938,0.2163104712963104,0.224037230014801,0.1672428548336029,0.2776879072189331
12.0,0.199269767070926,0.2284860908985138,0.3271229863166809,0.2449140399694442,0.1430330872535705,0.2322439551353454,0.2288913875818252,0.1404805332422256,0.1997131258249282
10.0,0.279743751510978,0.2497285306453704,0.3539432287216186,0.2674527764320373,0.1605653017759323,0.2458259910345077,0.2451990693807602,0.1367943584918975,0.1514328420162201
12.0,0.231672916250924,0.2016098499298095,0.3086541891098022,0.2441425919532776,0.130308136343956,0.2031086087226867,0.2066442519426345,0.1210175827145576,0.2231513410806656
12.0,0.213316665651898,0.1811353713274002,0.2830303013324737,0.2344454228878021,0.12186299264431,0.1724874526262283,0.1762395501136779,0.0889816805720329,0.123447373509407
10.0,0.209728888339467,0.1765520870685577,0.291436105966568,0.2414694279432296,0.1061881408095359,0.1658625900745391,0.1707866340875625,0.0885339900851249,0.1141697466373443
10.0,0.199082977277167,0.1717653125524521,0.2730346322059631,0.2383759319782257,0.1077674552798271,0.1599240899085998,0.1635069400072097,0.0995189622044563,0.1147190779447555
12.0,0.16078958225747,0.1794741451740265,0.2168154865503311,0.2095322757959365,0.0809946507215499,0.1365447789430618,0.1398094147443771,0.1003216281533241,0.1237525567412376
10.0,0.108297916439672,0.1421049833297729,0.1585139483213424,0.194258227944374,0.0566334910690784,0.1012354120612144,0.1055102497339248,0.0449087955057621,0.060548722743988
16.0,0.112597916275263,0.1452019959688186,0.1549431383609771,0.205729529261589,0.0928313136100769,0.1409396529197693,0.1435966044664383,0.0980602130293846,0.123416855931282
16.0,0.0948354171899458,0.1273687779903412,0.1669995933771133,0.1863922625780105,0.0656844526529312,0.118239514529705,0.1259004324674606,0.0757205113768577,0.0892971605062484
16.0,0.0935234037485528,0.1162503734230995,0.1842022240161895,0.1956755667924881,0.065319038927555,0.111408956348896,0.1131558120250701,0.0057375463657081,0.0015564439818263
9.0,0.121081250564506,0.1276104003190994,0.2060350477695465,0.2000786662101745,0.0684416815638542,0.1222647130489349,0.1318679600954055,0.0864176228642463,0.1029084175825119
9.0,0.123885416425765,0.159757375717163,0.2043948024511337,0.2017348259687423,0.0949179753661155,0.156118556857109,0.1581402719020843,0.0185411162674427,0.1044038236141204
5.0,0.224662499502301,0.2886793613433838,0.3440116643905639,0.2912259399890899,0.2101398706436157,0.2976296842098236,0.270515888929367,0.288678914308548,0.2797326445579529
5.0,0.216329167286555,0.2407175600528717,0.2755430042743683,0.2473851591348648,0.1841147094964981,0.2258720248937606,0.223567321896553,0.1983430683612823,0.1990112066268921
1.0,0.197100000455976,0.1827765703201294,0.2538927793502807,0.2433056831359863,0.1293675601482391,0.1603254973888397,0.1619946658611297,0.1540883481502533,0.1874141693115234
5.0,0.226870835758746,0.2640041410923004,0.2836743295192718,0.2682180106639862,0.2000779807567596,0.2875911593437195,0.2594079971313476,0.2006521821022033,0.2963652312755584
12.0,0.273017072822989,0.2945523858070373,0.3255104422569275,0.2811929583549499,0.197000652551651,0.2736831903457641,0.2463719248771667,0.1886567324399948,0.2574236392974853
1.0,0.19271875017633,0.1792879104614257,0.2486022859811782,0.246703416109085,0.1365537941455841,0.1761684566736221,0.1755714416503906,0.1121078208088874,0.125827819108963
12.0,0.160297916270792,0.153042584657669,0.2395801842212677,0.2252618223428726,0.1086945235729217,0.1250348687171936,0.1310584396123886,0.141266256570816,0.2416455596685409
12.0,0.208666667963068,0.2084935158491134,0.271470308303833,0.2380553781986236,0.1501867622137069,0.1904457807540893,0.1860233098268509,0.1291209012269973,0.1392254382371902
2.0,0.301802080745498,0.3042794167995453,0.3967551589012146,0.2915040552616119,0.2220856994390487,0.2756757438182831,0.252876877784729,0.2210891842842102,0.2328562289476394
