pixel_id,lat,lon,land_cover_types,koppen_climate_5_types,valid_number,site_number,site_ids
USCRN_79,44.51689911,-104.4363022,8,400,134.0,1,['USCRN_Sundance-8-NNW']
USCRN_83,45.51599884,-103.3016968,10,200,102.0,1,['USCRN_Buffalo-13-ESE']
USCRN_85,46.11349869,-92.99359894,8,400,163.0,1,['USCRN_Sandstone-6-W']
USCRN_88,46.88470078,-110.2894974,10,400,98.0,1,['USCRN_Lewistown-42-WSW']
USCRN_89,46.89459991,-103.3768997,10,200,83.0,1,['USCRN_Medora-7-E']
USCRN_91,47.41740036,-117.5263977,12,200,175.0,1,['USCRN_Spokane-17-SSW']
USCRN_92,47.51390076,-123.8119965,1,300,169.0,1,['USCRN_Quinault-4-NE']
USCRN_93,48.30820084,-105.101799,10,200,75.0,1,['USCRN_Wolf-Point-29-ENE']
USCRN_94,48.30550003,-95.87439728,12,400,34.0,1,['USCRN_Goodridge-12-NNW']
USCRN_96,48.48870087,-105.2096024,12,200,51.0,1,['USCRN_Wolf-Point-34-NE']
XMS-CAT_3,42.15595627,0.836225003,9,300,44.0,2,"['XMS-CAT_ClotdelesPeresI', 'XMS-CAT_ClotdelesPeresII']"
XMS-CAT_4,42.15539932,0.925499976,9,300,59.0,1,['XMS-CAT_CamidelsNerets']
XMS-CAT_5,42.14570999,0.983179986,12,300,42.0,1,['XMS-CAT_LosCoscolls']
XMS-CAT_7,42.21120071,0.893899977,9,300,56.0,1,['XMS-CAT_SerradeCostaAmpla']
XMS-CAT_8,42.2179985,1.019600034,9,300,58.0,1,['XMS-CAT_Pessonada']
XMS-CAT_9,42.19747925,1.246880054,8,300,37.0,1,['XMS-CAT_ColldePaller']
