pixel_id,lat,lon,land_cover_types,koppen_climate_5_types,valid_number,site_number,site_ids
ES_4,39.9386419,-5.777282,9,300,175.0,2,"['ES-LM1', 'ES-LM2']"
FI_5,67.75489807,29.61,9,400,215.0,1,['FI-Var']
FLUXNET-AMERIFLUX_3,38.42959937,-120.9649398,10,300,166.0,20,"['FLUXNET-AMERIFLUX_TonziRanch', 'FLUXNET-AMERIFLUX_VairaRanch', 'SOILSCAPE_node401', 'SOILSCAPE_node403', 'SOILSCAPE_node404', 'SOILSCAPE_node405', 'SOILSCAPE_node406', 'SOILSCAPE_node408', 'SOILSCAPE_node410', 'SOILSCAPE_node412', 'SOILSCAPE_node413', 'SOILSCAPE_node414', 'SOILSCAPE_node415', 'SOILSCAPE_node416', 'SOILSCAPE_node417', 'SOILSCAPE_node418', 'SOILSCAPE_node419', 'SOILSCAPE_node420', 'US-Ton', 'US-Var']"
FMI_1,67.15287781,26.72913933,8,400,328.0,1,['FMI_SOD140']
FMI_2,67.3656133,26.65486225,8,400,378.0,12,"['FMI_SOD011', 'FMI_SOD013', 'FMI_SOD071', 'FMI_SOD073', 'FMI_SOD081', 'FMI_SOD083', 'FMI_SOD091', 'FMI_SOD093', 'FMI_SOD101', 'FMI_SOD102', 'FMI_SOD103', 'FMI_SODAWS']"
FMI_3,67.2572937,26.74856949,8,400,355.0,1,['FMI_SOD130']
FR_3,43.549653,1.106096,12,300,179.0,1,['FR-Aur']
FR_5,44.48163033,-0.76275,8,300,117.0,2,"['FR_Aqui_grandcal', 'FR_Aqui_hillan2']"
FR_6,44.46699905,-0.726899981,8,300,138.0,1,['FR_Aqui_fraye']
FR_8,47.32289886,2.284100056,5,300,93.0,1,['FR-LGt']
FR_10,48.67409897,7.064650059,5,300,148.0,1,['FR-Hes']
HOAL_1,48.15416924,15.14937095,12,400,112.0,24,"['HOAL_Hoal-01', 'HOAL_Hoal-02', 'HOAL_Hoal-04', 'HOAL_Hoal-06', 'HOAL_Hoal-07', 'HOAL_Hoal-08', 'HOAL_Hoal-09', 'HOAL_Hoal-10', 'HOAL_Hoal-11', 'HOAL_Hoal-12', 'HOAL_Hoal-13', 'HOAL_Hoal-14', 'HOAL_Hoal-15', 'HOAL_Hoal-16', 'HOAL_Hoal-17', 'HOAL_Hoal-21', 'HOAL_Hoal-22', 'HOAL_Hoal-25', 'HOAL_Hoal-27', 'HOAL_Hoal-29', 'HOAL_Hoal-30', 'HOAL_Hoal-33', 'HOAL_Hoal-34', 'HOAL_Hoal-36']"
HOAL_2,48.15803909,15.14731026,12,400,65.0,1,['HOAL_Hoal-05']
HOBE_1,55.90250015,8.917499542,14,300,40.0,1,['HOBE_3.05']
HOBE_2,55.88069916,9.014200211,14,300,62.0,1,['HOBE_3.01']
HOBE_3,55.86925125,9.281400204,12,300,118.0,2,"['HOBE_3.08', 'HOBE_3.09']"
HOBE_4,55.9095993,8.853599548,12,300,59.0,1,['HOBE_3.07']
HOBE_5,55.91916529,8.913633347,9,300,133.0,3,"['HOBE_3.02', 'HOBE_3.04', 'HOBE_3.06']"
HOBE_8,55.98023351,9.184733391,12,300,123.0,3,"['HOBE_1.01', 'HOBE_2.01', 'HOBE_2.03']"
HOBE_9,56.04173279,9.131866773,12,300,126.0,3,"['HOBE_1.07', 'HOBE_1.08', 'HOBE_1.09']"
HOBE_10,56.03700104,9.18355999,12,300,123.0,5,"['HOBE_1.02', 'HOBE_1.03', 'HOBE_1.05', 'HOBE_1.06', 'HOBE_1.10']"
HOBE_11,56.07329941,9.33370018,12,300,64.0,1,['HOBE_1.04']
MonteBuey_1,-32.97,-62.45,12,300,47.0,1,['MonteBuey']
OZNET_1,-35.38977814,147.4571991,12,300,94.0,1,['OZNET_Cox']
OZNET_2,-35.3939209,147.5661774,12,300,125.0,1,['OZNET_Wollumbi']
OZNET_3,-35.27201843,147.4290161,12,200,94.0,1,['OZNET_Silver-Springs']
OZNET_4,-35.32395172,147.5348053,12,300,73.0,1,['OZNET_Alabama']
OZNET_5,-35.22750092,147.4850006,12,200,103.0,1,['OZNET_Samarra']
OZNET_7,-35.10974884,145.9355316,10,200,164.0,1,['OZNET_Bundure']
OZNET_8,-35.09024811,146.3064728,10,200,155.0,1,['OZNET_Widgiewa']
OZNET_10,-35.06959915,146.1689301,10,200,145.0,1,['OZNET_Spring-Bank']
OZNET_11,-35.00534821,146.3098755,10,200,109.0,1,['OZNET_Cheverelis']
OZNET_12,-34.96776962,146.0163269,12,200,157.0,1,['OZNET_Yammacoona']
OZNET_13,-34.84262085,145.8669128,12,200,137.0,1,['OZNET_S-Coleambally']
OZNET_14,-34.85182953,146.1152954,10,200,164.0,1,['OZNET_Yamma-Road']
OZNET_15,-34.8469696,146.4139862,12,200,162.0,1,['OZNET_Wynella']
OZNET_16,-34.71942902,146.0200348,10,200,169.0,1,['OZNET_Eulo']
OZNET_17,-34.65478134,146.1102753,10,200,74.0,1,['OZNET_Banandra']
OZNET_18,-34.72835159,146.2931671,10,200,138.0,1,['OZNET_Dry-Lake']
OZNET_19,-34.62887955,145.8489532,10,200,181.0,1,['OZNET_Uri-Park']
Quebec_1,56.55308,76.47258,8,400,128.0,1,['Quebec_Forest']
REMEDHUS_1,41.14894104,-5.397570133,12,200,77.0,1,['REMEDHUS_LaAtalaya']
REMEDHUS_2,41.23923111,-5.544270039,12,200,207.0,1,['REMEDHUS_Zamarron']
REMEDHUS_3,41.19405938,-5.446329832,12,200,205.0,2,"['REMEDHUS_LasBodegas', 'REMEDHUS_LasEritas']"
REMEDHUS_4,41.19602966,-5.359970093,12,200,195.0,1,['REMEDHUS_Canizal']
REMEDHUS_5,41.27473068,-5.591899872,12,200,227.0,1,['REMEDHUS_LasTresRayas']
REMEDHUS_6,41.28919983,-5.467130184,12,200,212.0,1,['REMEDHUS_Guarrati']
REMEDHUS_7,41.28543091,-5.378074885,12,200,213.0,2,"['REMEDHUS_Carretoro', 'REMEDHUS_Granja-g']"
REMEDHUS_8,41.29277993,-5.273535013,12,200,208.0,2,"['REMEDHUS_ConcejodelMonte', 'REMEDHUS_LaCruzdeElias']"
REMEDHUS_9,41.37337875,-5.548500061,12,200,230.0,1,['REMEDHUS_LasArenas']
REMEDHUS_10,41.3651104,-5.459745169,10,200,227.0,2,"['REMEDHUS_ElCoto', 'REMEDHUS_ElTomillar']"
REMEDHUS_11,41.39085007,-5.352580071,12,200,208.0,2,"['REMEDHUS_LasVictorias', 'REMEDHUS_LlanosdelaBoveda']"
REMEDHUS_12,41.3939209,-5.32145977,12,200,214.0,1,['REMEDHUS_CasaPeriles']
REMEDHUS_13,41.34709167,-5.224740028,12,200,179.0,1,['REMEDHUS_LasVacas']
REMEDHUS_14,41.45117569,-5.384849787,7,200,207.0,2,"['REMEDHUS_LasBrozas', 'REMEDHUS_Paredinas']"
RISMA_3,49.51950836,-97.95648956,12,400,32.0,1,['RISMA_MB3']
RISMA_4,49.49250031,-97.93373871,12,400,30.0,1,['RISMA_MB2']
RISMA_6,49.69785881,-97.99338341,12,400,31.0,4,"['RISMA_MB6', 'RISMA_MB7', 'RISMA_MB8', 'RISMA_MB9']"
RISMA_11,51.38164139,-106.4158325,12,400,30.0,1,['RISMA_SK4']
RSMN_1,43.97780991,25.3528595,12,400,129.0,1,['RSMN_Alexandria']
RSMN_2,44.10710907,24.97871971,12,400,141.0,1,['RSMN_RosioriideVede']
RSMN_3,44.20571899,27.33852005,12,300,143.0,1,['RSMN_Calarasi']
