date,smap_freq,smap_theta,mcd12c1_IGBP_land_cover,omega_land_cover,roughness_land_cover,b_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mcd13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,insitu_sm
20150929.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,285.71343994140625,0.0,263.3960266113281,252.49354553222656,0.0008523463038727,2.805607318878174,200.0,0.2238581627607345,0.2107078731060028,0.1756291985511779,0.0713135376572609,0.1717038601636886,0.1645110249519348,0.0408434942364692,0.0708334594964981,0.10046250000596
20151001.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,286.1236267089844,0.0,266.016845703125,251.9651031494141,0.0,2.979865789413452,200.0,0.2224499285221099,0.196923166513443,0.1700942814350128,0.0445373877882957,0.1462417542934417,0.1407389491796493,0.0165879279375076,0.0369884334504604,0.0887791660303871
20151004.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,291.51904296875,0.0,269.0184326171875,258.79058837890625,0.0,3.3655922412872314,200.0,0.2079416513442993,0.1776968985795974,0.1432917863130569,0.0431180745363235,0.1412185132503509,0.1415695995092392,0.0294169746339321,0.0518814660608768,0.0720250010490417
20151119.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,298.682373046875,0.0,269.2179260253906,246.5349273681641,0.000426173210144,5.979772090911865,200.0,0.1604191809892654,0.2561959326267242,0.1675971001386642,0.1246743500232696,0.1534328162670135,0.1417579352855682,0.0873800590634346,0.1340373009443283,0.155191665515304
20151127.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,290.6860046386719,0.0,278.05828857421875,262.64471435546875,0.0021575249265879,2.8372273445129395,200.0,0.1783978343009948,0.1753424406051635,0.1213319972157478,0.0283079631626606,0.0601789951324462,0.0593579113483428,0.0250045880675315,0.0373241379857063,0.0903499998773138
20151202.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,291.5575256347656,0.0,280.6553955078125,265.6342163085937,0.0021517276763916,1.93746554851532,200.0,0.1485812216997146,0.1518285274505615,0.1214408949017524,0.0226947627961635,0.041336890310049,0.0388422682881355,0.0065610301680862,0.0072328867390751,0.0732541667918364
20151212.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,293.9467468261719,0.0669554769992828,281.865966796875,267.17498779296875,0.0017198916757479,1.4937763214111328,200.0,0.1519032418727874,0.1505548357963562,0.1157701611518859,0.0241355057805776,0.0434376187622547,0.0438007153570652,0.0102999173104763,0.0165105145424604,0.0586541669132809
20151220.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,303.759033203125,0.1266686022281646,256.6986694335937,230.1302490234375,2.167802572250366,1.83066987991333,200.0,0.0359883978962898,0.1422496736049652,0.1246971637010574,0.2028890401124954,0.2408995032310485,0.2096781283617019,0.1515523940324783,0.188909575343132,0.0373869567461636
20151228.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,296.21923828125,0.0604905784130096,261.6650390625,234.29022216796875,0.0008523463038727,2.9234325885772705,200.0,0.1507808864116668,0.2350880950689315,0.1939031779766082,0.1350535154342651,0.1783446669578552,0.1661045849323272,0.1324855685234069,0.1766106188297271,0.134791668814917
20160130.0,1.409999966621399,40.0,12.0,0.0599999986588954,0.1080000028014183,0.1099999994039535,0.1969294399023056,1.1133975982666016,293.85162353515625,0.0,245.79916381835935,218.62600708007807,12.17983341217041,2.7147021293640137,200.0,0.069726750254631,0.3428904414176941,0.184204876422882,0.2571425437927246,0.2791221141815185,0.2387898862361908,0.1714574247598648,0.2184514850378036,0.119449999928474
