date,smap_freq,smap_theta,mcd12c1_IGBP_land_cover,omega_land_cover,roughness_land_cover,b_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mcd13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,insitu_sm
20151010.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,275.13629150390625,2.1707794666290283,236.71804809570312,215.80740356445312,0.3845678865909576,0.93597149848938,400.0,0.1759611368179321,0.4583728015422821,0.3365000486373901,0.3545627295970917,0.3429776132106781,0.4014845788478851,0.2599081397056579,0.3469649255275726,0.2417333333333333
20160417.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,282.4498596191406,1.911882996559143,221.6658172607422,202.36810302734372,0.900802731513977,1.5850622653961182,400.0,0.0842522755265235,0.4752390384674072,0.386132001876831,0.3919641077518463,0.5069906115531921,0.5818778872489929,0.5965377688407898,0.7025055885314941,0.0907208333333333
20160422.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,286.5873718261719,1.914624571800232,225.87872314453125,208.06553649902344,3.2335011959075928,1.838511824607849,400.0,0.1792722940444946,0.4891622066497803,0.3495797216892242,0.3925883173942566,0.5229964852333069,0.565560519695282,0.3537335097789764,0.4637897908687591,0.0909916666666666
20160425.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,281.9226379394531,1.9236537218093872,226.2739715576172,205.73178100585935,0.4741365015506744,2.764119863510132,400.0,0.0761713832616806,0.481642335653305,0.3331016898155212,0.3695273697376251,0.46769580245018,0.5488431453704834,0.4289037585258484,0.5266579389572144,0.0912208333333333
20160427.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,279.7926940917969,1.930217146873474,227.14453125,205.19015502929688,0.5003088116645813,2.3190340995788574,400.0,0.0889547914266586,0.4702169895172119,0.3548900485038757,0.3679703772068023,0.413556843996048,0.4998430907726288,0.3378317654132843,0.4678487479686737,0.0917
20160430.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,282.3934020996094,1.9334954023361208,225.3549346923828,204.91177368164065,0.0008523463038727,3.2616329193115234,400.0,0.1660692989826202,0.4413599967956543,0.3406492471694946,0.3689737915992737,0.4524351358413696,0.529495358467102,0.2809628844261169,0.3023774027824402,0.0921
20160510.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,282.3027648925781,1.6219842433929443,237.49896240234372,220.83279418945312,3.623974084854126,3.089884042739868,400.0,0.1284065842628479,0.3905470371246338,0.3190122246742248,0.3363779783248901,0.3242981433868408,0.3508461713790893,0.2234770804643631,0.3909420967102051,0.0973833333333333
20160513.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,289.0224609375,1.6648472547531128,238.58499145507807,219.74069213867188,0.954679012298584,4.725963592529297,400.0,0.1325377523899078,0.4243042171001434,0.3404189050197601,0.3468471467494964,0.3302363157272339,0.3710340857505798,0.33087158203125,0.4348277151584625,0.1066583333333333
20160515.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,277.8062438964844,1.7009689807891846,239.2090759277344,226.27523803710935,0.0,2.497554063796997,400.0,0.168518453836441,0.4154743552207947,0.3243184983730316,0.3093272447586059,0.3589546680450439,0.3674457669258117,0.2450405806303024,0.3229468762874603,0.2053958333333333
20160518.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,285.8679504394531,1.6071783304214478,239.5252990722656,220.26687622070312,0.0525660179555416,3.647245407104492,400.0,0.1874825656414032,0.383230060338974,0.3196412324905395,0.3262210488319397,0.3210330009460449,0.3705475330352783,0.2617693841457367,0.365153968334198,0.2151499999999999
20160523.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,293.2436218261719,1.4085358381271362,253.21995544433597,236.2330017089844,0.0054843365214765,4.124011993408203,400.0,0.2560893893241882,0.3267107903957367,0.3024075329303741,0.2696681320667267,0.2732596099376678,0.3130414485931396,0.1627266556024551,0.2428357750177383,0.2426374999999999
20160526.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,291.8802490234375,1.3553837537765503,255.20654296875,240.193115234375,0.0024613088462501,4.031222820281982,400.0,0.2495497167110443,0.3036326169967651,0.2844233810901642,0.3023273050785064,0.2697379887104034,0.3073760867118835,0.179715871810913,0.3469038903713226,0.2516375
20160620.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,293.4520874023437,1.2592015266418457,270.0580749511719,258.75299072265625,0.0,3.873872995376587,400.0,0.2098002880811691,0.3177551925182342,0.2622107863426208,0.1999995857477188,0.1095239669084549,0.1553478986024856,0.1062968745827674,0.1909543126821518,0.2065
20160625.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,295.8576965332031,1.2561992406845093,266.9218139648437,254.80099487304688,0.6285833120346069,3.071450471878052,400.0,0.2188620120286941,0.290099173784256,0.2768594026565552,0.221114233136177,0.1645254492759704,0.2150600254535675,0.1032047867774963,0.174016535282135,0.2111375
20160628.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,290.8534851074219,1.2575221061706543,265.5660095214844,255.03079223632807,0.5186941623687744,2.719851493835449,400.0,0.2257037162780761,0.4115659892559051,0.2830466032028198,0.1945553869009018,0.1665254086256027,0.222664400935173,0.1105402410030365,0.2171086817979812,0.2061625
20160706.0,1.409999966621399,40.0,9.0,0.1000000014901161,0.1560000032186508,0.1099999994039535,0.2747069895267486,0.8535023331642151,293.2391662597656,1.2600712776184082,262.75860595703125,251.73049926757807,5.991149425506592,3.169520378112793,400.0,0.2303772866725921,0.4550200700759887,0.3065134882926941,0.2408402860164642,0.214763268828392,0.2692610919475555,0.1789101809263229,0.3458967804908752,0.2064291666666666
