date,smap_freq,smap_theta,mcd12c1_IGBP_land_cover,omega_land_cover,roughness_land_cover,b_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mcd13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,insitu_sm
20150403.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,281.843505859375,1.784953474998474,262.2466735839844,256.2113647460937,0.0008523463038727,1.84057092666626,300.0,0.1298422068357467,0.3628666996955871,0.2324429750442505,0.1798495948314666,0.1943013668060302,0.1791702359914779,0.1233946532011032,0.0458388030529022,0.0780416671186686
20150416.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,283.65509033203125,1.6772146224975586,261.7007141113281,254.943359375,0.000435113790445,2.782024621963501,300.0,0.1726879775524139,0.4128698110580444,0.2412829548120498,0.1488471329212188,0.223973661661148,0.1977545469999313,0.2052165120840072,0.1527146250009536,0.118166666477919
20150511.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,288.1979064941406,2.004701614379883,271.1888427734375,264.21160888671875,1.4514209032058716,1.5274081230163574,300.0,0.0786025896668434,0.2779965102672577,0.2123653590679168,0.1366315931081771,0.1403774321079254,0.1302209645509719,0.1519018411636352,0.1173131540417671,0.0621666663015882
20150516.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,284.0659484863281,1.7778133153915403,267.6156005859375,260.5777587890625,2.331262826919556,1.7664724588394165,300.0,0.1073587909340858,0.3118461370468139,0.1992285102605819,0.1693587899208068,0.1623315811157226,0.1480263322591781,0.1417483240365982,0.0672322735190391,0.0589166665449739
20150524.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,289.704345703125,2.09865951538086,267.3886108398437,262.9490966796875,0.0008583068847656,2.396145820617676,300.0,0.1044265627861023,0.376812219619751,0.2317926585674286,0.2131745815277099,0.1922720372676849,0.1877118647098541,0.2006235718727111,0.1398052871227264,0.13545833217601
20150527.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,291.0935363769531,2.0162124633789062,271.9842529296875,263.86309814453125,0.0020972697529941,1.9947785139083865,300.0,0.0966568440198898,0.3372405469417572,0.2072533220052719,0.1868955194950103,0.1655256748199463,0.1445940285921096,0.1156337410211563,0.0361033976078033,0.109416667061547
20150529.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,293.53692626953125,1.9001892805099487,274.1941223144531,268.7025451660156,0.0008523463620804,2.00497841835022,300.0,0.0644871667027473,0.314941793680191,0.2029119133949279,0.1764617413282394,0.1277850270271301,0.1304991841316223,0.1643120944499969,0.106021299958229,0.0955000013733904
20150601.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,290.2652893066406,1.7109476327896118,271.98345947265625,265.54119873046875,0.213173359632492,1.3765960931777954,300.0,0.070818617939949,0.2911651134490967,0.1903380155563354,0.1502011865377426,0.1681653708219528,0.1574101001024246,0.114142395555973,0.0597552433609962,0.0792500001067917
20150603.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,289.9195251464844,1.717623233795166,271.2366943359375,266.6767272949219,0.3242434561252594,1.8932451009750368,300.0,0.083408772945404,0.3114469647407532,0.1794451475143432,0.1276922821998596,0.1517613977193832,0.1565992683172226,0.1368536949157714,0.0656758323311805,0.0750416663164894
20150606.0,1.409999966621399,40.0,1.0,0.0700000002980232,0.1599999964237213,0.1000000014901161,0.1730751544237136,1.243725299835205,294.6165466308594,1.9269790649414065,274.0648803710937,268.002685546875,0.0017235468840226,1.9768532514572144,300.0,0.0837105736136436,0.3079326152801513,0.1993078291416168,0.183092400431633,0.1534704715013504,0.1481884717941284,0.1632624119520187,0.1008941903710365,0.073083333671093
