observation,prediction,fold,y_pred
0.0115750001374787,,4.0,0.0003983084
0.0123500001447445,,5.0,0.004501289
0.011729166804192,,4.0,0.0005771671
0.0115875001841535,,2.0,0.0005537107
0.0114895834994968,,4.0,0.0002475204
0.011312499952813,,4.0,0.0002993214
0.0112749998515937,,3.0,0.00036146338
0.0120977273274382,,3.0,0.00044924798
0.0113333332604573,,1.0,0.0018123076
0.0114458332730768,,2.0,0.000507911
0.0112729166188122,,2.0,0.00043681153
0.0115041666140314,,5.0,0.0042235283
0.0116291667412346,,3.0,0.0007721673
0.0118604168334665,,4.0,0.0007147459
0.0121312500365699,,4.0,0.00070667727
0.0119791667772612,,3.0,0.0005605681
0.0118083334430897,,4.0,0.00038907572
0.0118750001032216,,2.0,0.0007003953
0.0119574469058438,,3.0,0.0018098664
0.0121541667031124,,1.0,0.0035289524
0.0119750001467764,,2.0,0.0003635807
0.0121583334500125,,5.0,0.0058303815
0.0121520834800322,,5.0,0.005716942
0.0122708334723332,,2.0,0.036895365
0.0123270833961821,,3.0,0.005892281
0.0121893618117146,,2.0,0.0012811403
0.012377083330648,,1.0,0.004876591
0.0124541668240757,,5.0,0.008820326
0.0622104164989044,,1.0,0.025755242
0.0501625003137936,,3.0,0.0037027574
0.0648625000224759,,4.0,0.033242185
0.0542895835048209,,5.0,0.025540344
0.0425749999315788,,5.0,0.015258105
0.0305375000849987,,5.0,0.020284258
0.0285812504589558,,3.0,0.050677508
0.0849999999627471,,3.0,0.06516835
0.0981145836412907,,2.0,0.08511843
0.0980104166083038,,3.0,0.079517685
0.09548749976481,,2.0,0.08357246
0.0899437498301268,,1.0,0.06361048
0.0656499999264876,,5.0,0.023161625
0.0898979164582367,,3.0,0.07862777
0.0502791670539106,,3.0,0.028993327
0.0918270829133689,,5.0,0.06107425
0.106818750035018,,1.0,0.09030853
0.0978765960862028,,5.0,0.06758734
0.103710416393975,,4.0,0.07953846
0.0757583333955457,,4.0,0.06296117
0.137218749771516,,1.0,0.07714799
0.0968875003357728,,3.0,0.07691173
0.0846791655446092,,5.0,0.07116576
0.0671708323837568,,5.0,0.074714564
0.0593687502356867,,3.0,0.038860157
0.0867687501013279,,5.0,0.114643805
0.0995500002366801,,1.0,0.10976645
0.078187499816219,,3.0,0.045282356
0.112683333766957,,1.0,0.14825177
0.0969708333723247,,5.0,0.096332185
0.106802083396663,,5.0,0.11442507
