fold,observation,prediction
1.0,0.0307583330043902,0.03566141426563263
1.0,0.0396999998483807,0.037796542048454285
4.0,0.110741666207711,0.05520607531070709
2.0,0.0847999999920527,0.02883654087781906
2.0,0.0609375005587935,0.0308537557721138
5.0,0.0440666667806605,0.01372983306646347
3.0,0.0379375008245309,0.008321210741996765
2.0,0.0300041667651385,0.016077280044555664
1.0,0.0242999999318272,0.009583204984664917
2.0,0.0225999997928739,0.014828242361545563
5.0,0.0210291667996595,0.012171432375907898
4.0,0.129637499650319,0.0821714848279953
4.0,0.130562499786417,0.07382276654243469
2.0,0.116966666653752,0.06467147171497345
4.0,0.117233332246542,0.08552879095077515
5.0,0.110737500091394,0.07366907596588135
3.0,0.136233331635594,0.11916214227676392
4.0,0.106379166866342,0.0667753666639328
3.0,0.0883291667948167,0.06266649812459946
1.0,0.0945166669165095,0.0324731171131134
5.0,0.0824958331262072,0.046255551278591156
1.0,0.104570833034813,0.0762929618358612
4.0,0.0697166671355565,0.040246859192848206
2.0,0.0468666668360432,0.021025806665420532
3.0,0.0463166668390234,0.0489083006978035
4.0,0.0451375005456309,0.030461013317108154
2.0,0.0864583337679505,0.0843128114938736
1.0,0.0481625000635783,0.03665994107723236
3.0,0.0489388890564442,0.10725999623537064
3.0,0.052982608585254,0.08615066111087799
3.0,0.137695651987325,0.13197094202041626
4.0,0.129643477499485,0.12508609890937805
4.0,0.129674999353786,0.07082684338092804
5.0,0.103074999215702,0.10635282099246979
5.0,0.0827791662886739,0.06361135840415955
5.0,0.13902083473901,0.1356046050786972
4.0,0.103949999747177,0.09443250298500061
4.0,0.126978260991366,0.14394289255142212
2.0,0.0988083345194658,0.10430145263671875
4.0,0.13713333196938,0.15623420476913452
5.0,0.114166666132708,0.1431553065776825
4.0,0.0934708335747321,0.13535887002944946
3.0,0.124320833012462,0.1404876559972763
1.0,0.0986499994372328,0.10625287890434265
4.0,0.143254166468978,0.14478646218776703
4.0,0.162195833399892,0.15542903542518616
1.0,0.134316666672627,0.15960107743740082
4.0,0.132683333630363,0.16185131669044495
2.0,0.154895833383004,0.14429020881652832
4.0,0.13083333397905,0.1438787877559662
2.0,0.149541667973002,0.14952433109283447
3.0,0.136454166844487,0.1748337596654892
4.0,0.153537498166164,0.17409665882587433
2.0,0.175391665970286,0.159907728433609
4.0,0.158583332474033,0.1616961807012558
5.0,0.162162500123183,0.24067893624305725
2.0,0.154233331481616,0.1582406908273697
1.0,0.124920832303663,0.14803652465343475
4.0,0.141600000982483,0.15525561571121216
3.0,0.14986666602393,0.16866083443164825
3.0,0.174012499550978,0.1339832842350006
5.0,0.154091667383909,0.1536513864994049
5.0,0.139754167137047,0.14347456395626068
4.0,0.117620833528539,0.13720589876174927
2.0,0.169441665833195,0.13550743460655212
1.0,0.149147826044456,0.13168351352214813
3.0,0.130966666775445,0.14832037687301636
3.0,0.142924999197324,0.13729862868785858
2.0,0.148020834351579,0.15706074237823486
5.0,0.131441665813327,0.13802647590637207
5.0,0.0543916664707164,0.089111328125
2.0,0.0468874992802739,0.07561572641134262
3.0,0.0490874994235734,0.07433600723743439
5.0,0.0393208339810371,0.08340069651603699
5.0,0.0386125006092091,0.10006833076477051
2.0,0.0362625008759399,0.07136331498622894
1.0,0.0340708334309359,0.06125488877296448
3.0,0.0312708323666205,0.052506521344184875
2.0,0.0240916666807607,0.035389214754104614
3.0,0.0273626811643792,0.04763951152563095
3.0,0.0227833333192392,0.04518405348062515
5.0,0.0182166666879008,0.03256715089082718
4.0,0.0190562499143804,0.02952083945274353
3.0,0.0178583333229956,0.024989835917949677
5.0,0.0169770835976427,0.022135883569717407
1.0,0.0167229166836478,0.030214160680770874
5.0,0.0157104168126049,0.021034665405750275
2.0,0.0153937499853782,0.029917150735855103
3.0,0.0151895831998748,0.017729267477989197
2.0,0.0146541666860382,0.02543429285287857
1.0,0.0144416666977728,0.021175652742385864
2.0,0.014202083441584,0.02449025958776474
5.0,0.0138854167307727,0.012402147054672241
5.0,0.013956250079597,0.014431290328502655
1.0,0.0135458332564061,0.012988179922103882
2.0,0.0133062499032045,0.01466352492570877
5.0,0.0130645833560266,0.010565653443336487
3.0,0.0128187500134421,0.015805259346961975
3.0,0.0128562500855575,0.011046573519706726
5.0,0.0127083333015131,0.011839941143989563
1.0,0.0124708333363135,0.01604047417640686
1.0,0.0122000000555998,0.013379424810409546
3.0,0.0122312499637094,0.009541317820549011
5.0,0.0121020833224367,0.00666644424200058
1.0,0.0118958333235544,0.010923534631729126
1.0,0.0115750000501672,0.00696970522403717
1.0,0.0114854165779737,0.005489513278007507
2.0,0.011447916602871,0.009438417851924896
1.0,0.0114062499681798,0.009065181016921997
1.0,0.0112562500289641,0.00803731381893158
4.0,0.0112604167079552,0.008542835712432861
5.0,0.011120833378906,0.008581653237342834
1.0,0.0109645833920997,0.008233070373535156
4.0,0.0109395833957629,0.00892774760723114
1.0,0.0113312499791694,0.0014827251434326172
3.0,0.0132545833087837,0.0720793679356575
1.0,0.0121458332481173,0.02315916121006012
