date,smap_freq,smap_theta,mcd12c1_IGBP_land_cover,omega_land_cover,roughness_land_cover,b_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mcd13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,insitu_sm
20150511.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,278.8873291015625,1.6040393114089966,233.55502319335938,217.54656982421875,1.2317531108856201,0.37841740250587463,400.0,0.2489116160443636
20150512.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,276.40118408203125,1.5941264629364014,233.1758270263672,217.66827392578125,11.493041038513184,0.0,400.0,0.2591174239095187
20150515.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,275.87200927734375,1.5692203044891357,231.33053588867188,216.23451232910156,1.110836148262024,1.0067654848098755,400.0,0.2780111015494261
20150516.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,275.18292236328125,1.5610088109970093,235.38104248046875,221.13702392578125,0.15589769184589386,0.8270500898361206,400.0,0.2394925003033131
20150517.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,275.7342834472656,1.5526208877563477,235.18093872070312,221.56094360351562,0.38036972284317017,0.9076633453369141,400.0,0.2269395829488833
20150518.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,276.74285888671875,1.543840765953064,238.21554565429688,222.96353149414062,0.45374372601509094,0.5626862049102783,400.0,0.2189583333441988
20150519.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,279.0001525878906,1.534892201423645,242.0590057373047,226.19131469726562,2.4012491703033447,0.0,400.0,0.2166416662822787
20150520.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,278.28033447265625,1.5260918140411377,240.50225830078125,225.97547912597656,1.5295896530151367,0.08230546116828918,400.0,0.2128708320902662
20150521.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,279.3724365234375,1.5173044204711914,239.48741149902344,228.3179168701172,2.0049357414245605,0.8638030290603638,400.0,0.2104190211527157
20150522.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,281.0419006347656,1.5085252523422241,240.4866943359375,226.94699096679688,1.7372232675552368,1.8813164234161377,400.0,0.2039562485724066
20150523.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,278.83050537109375,1.5000929832458496,241.15213012695312,228.13214111328125,17.206764221191406,1.413818597793579,400.0,0.229477082984522
20150524.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,276.67132568359375,1.490643858909607,237.55389404296875,225.09600830078125,5.384396076202393,2.5093212127685547,400.0,0.2257597822061591
20150525.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,280.16851806640625,1.483349084854126,237.14776611328125,225.66976928710938,0.0013823574408888817,1.7042207717895508,400.0,0.2134924242089529
20150526.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,282.595703125,1.4803513288497925,238.8480987548828,225.56988525390625,0.00015686762344557792,1.5256609916687012,400.0,0.2052355411627044
20150527.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,282.49468994140625,1.4794573783874512,244.11672973632812,228.21603393554688,5.789701461791992,1.3398865461349487,400.0,0.2122291659936308
20150528.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,280.5904235839844,1.4775147438049316,242.25961303710938,228.5997772216797,1.338754653930664,1.3584284782409668,400.0,0.2150187499821187
20150529.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.052673425525426865,0.5954602956771851,283.9954528808594,1.4758737087249756,244.15115356445312,230.57754516601562,1.49069082736969,2.1502771377563477,400.0,0.2076187488467743
