date,smap_freq,smap_theta,mcd12c1_IGBP_land_cover,omega_land_cover,roughness_land_cover,b_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mcd13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,insitu_sm
20150401.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,279.8436279296875,0.026441549882292747,231.2462921142578,205.52020263671875,0.4351387917995453,1.3766695261001587,400.0,0.4186295557631415
20150409.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,277.3724060058594,0.034071918576955795,247.91439819335938,227.30859375,0.07589767873287201,1.1593724489212036,400.0,0.317326088962348
20150411.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,279.89715576171875,0.028809387236833572,248.45849609375,227.2665557861328,0.0025629987940192223,2.1572835445404053,400.0,0.328049998730421
20150412.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,282.3047790527344,0.026145096868276596,241.2649688720703,216.30709838867188,1.0130844116210938,1.0921324491500854,400.0,0.323615385280861
20150414.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,281.1355285644531,0.021349040791392326,247.50933837890625,229.28866577148438,0.0008553265361115336,2.4009618759155273,400.0,0.319189654342059
20150415.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,287.36370849609375,0.017117947340011597,244.14837646484375,220.66798400878906,0.0008523463038727641,3.0358872413635254,400.0,0.326465894347958
20150417.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,283.76348876953125,0.0,243.33401489257812,224.03030395507812,0.0008523463038727641,1.9555139541625977,400.0,0.3324573190155915
20150419.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,280.2920227050781,0.0,234.3804931640625,207.4554443359375,9.141897201538086,1.4155843257904053,400.0,0.3589320170333645
20150422.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,274.05828857421875,0.0,246.037353515625,225.19137573242188,0.0012814998626708984,1.444607138633728,400.0,0.343136514177579
20150425.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,280.70819091796875,0.0,244.10108947753906,221.85647583007812,0.0020754551514983177,1.816544532775879,400.0,0.330113636856579
20150427.0,1.409999966621399,40.0,12.0,0.05999999865889549,0.1080000028014183,0.10999999940395355,0.33843475580215454,1.1684494018554688,282.44842529296875,0.0,254.5447998046875,236.92965698242188,2.4529473781585693,1.3422530889511108,400.0,0.3296156005770495
