date,smap_freq,smap_theta,mcd12c1_IGBP_land_cover,omega_land_cover,roughness_land_cover,b_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mcd13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,insitu_sm
20150403.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,300.767822265625,1.197178602218628,242.48497009277344,221.29281616210938,4.542849063873291,4.0049872398376465,100.0,0.3953317006429036
20150405.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,300.07525634765625,1.2017110586166382,241.20401000976562,221.33831787109375,7.960771560668945,4.326709270477295,100.0,0.3947181701660156
20150408.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,299.43988037109375,1.2079657316207886,240.09185791015625,217.38211059570312,0.3626410663127899,4.478332996368408,100.0,0.3764661153157552
20150411.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,299.0689697265625,1.212700366973877,238.9891815185547,218.29415893554688,11.5028076171875,3.1436750888824463,100.0,0.4083131154378255
20150413.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,299.9562683105469,1.2157403230667114,240.78550720214844,218.67721557617188,10.35523796081543,3.710667610168457,100.0,0.4096991221110027
20150416.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,300.12451171875,1.2159160375595093,242.1329345703125,218.71749877929688,15.981393814086914,4.052988529205322,100.0,0.4092350006103516
20150419.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,299.9942321777344,1.2046427726745605,240.287109375,219.20181274414062,0.2664349377155304,4.84942626953125,100.0,0.4067846934000652
20150421.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,300.21875,1.197741150856018,243.2294158935547,221.13882446289062,8.986115455627441,2.977029323577881,100.0,0.3899733225504558
20150424.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,298.6478271484375,1.1937142610549927,240.1556396484375,218.4210662841797,11.298639297485352,2.9667718410491943,100.0,0.4212385813395183
20150427.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,299.7992248535156,1.2061594724655151,243.24752807617188,223.78335571289062,6.482928276062012,3.9609508514404297,100.0,0.4131997426350911
20150429.0,1.409999966621399,40.0,8.0,0.07999999821186066,0.125,0.10999999940395355,0.2156318724155426,1.2455353736877441,300.2740783691406,1.2139033079147339,244.48622131347656,226.51931762695312,0.14368513226509094,4.337835311889648,100.0,0.3879820505777995
