date,smap_freq,smap_theta,mcd12c1_IGBP_land_cover,omega_land_cover,roughness_land_cover,b_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mcd13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,insitu_sm
20160615.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,288.1031494140625,1.038772463798523,258.42303466796875,243.2471466064453,0.9471856355667114,2.7518739700317383,300.0,0.309679167966048
20160617.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,286.5230712890625,1.0380427837371826,260.326904296875,247.70396423339844,0.16682080924510956,2.5958163738250732,300.0,0.300706664721171
20160618.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,286.8856506347656,1.0394392013549805,257.8623962402344,243.8788604736328,0.11196586489677429,2.6088249683380127,300.0,0.287797915438811
20160621.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,288.1245422363281,1.0452994108200073,263.63360595703125,243.88623046875,1.0768977403640747,2.8035964965820312,300.0,0.31947500196596
20160623.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,288.4405517578125,1.0491549968719482,260.13818359375,244.69940185546875,1.0603127479553223,2.982933521270752,300.0,0.294422222508325
20160625.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,286.7736511230469,1.0530214309692383,260.93463134765625,246.93508911132812,1.2234293222427368,2.6750686168670654,300.0,0.350788634609092
20160626.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,285.93646240234375,1.053120493888855,258.80755615234375,245.19561767578125,4.0436506271362305,1.370247483253479,300.0,0.363079167281588
20160628.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,284.4990539550781,1.0522186756134033,258.53875732421875,246.73251342773438,5.0900726318359375,1.9754449129104614,300.0,0.366912764437655
20160629.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,284.7511901855469,1.0518479347229004,256.82354736328125,241.1602783203125,12.024102210998535,2.6020305156707764,300.0,0.396483331297835
20160701.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,284.8011474609375,1.0511895418167114,258.80615234375,248.66839599609375,6.55430793762207,3.539572238922119,300.0,0.39487907221151
20160703.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,285.5772399902344,1.0506060123443604,258.11212158203125,244.9505615234375,0.47781193256378174,2.227534532546997,300.0,0.402977272868156
20160704.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,285.43365478515625,1.0515915155410767,258.70635986328125,242.6981201171875,8.042705535888672,1.545975923538208,300.0,0.410661901746477
20160706.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,285.28448486328125,1.0543560981750488,255.5591583251953,244.35780334472656,4.78619384765625,1.7599965333938599,300.0,0.414529271242095
20160707.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,289.17022705078125,1.0557031631469727,258.72576904296875,243.9617156982422,2.063103199005127,3.5188279151916504,300.0,0.416002563941173
20160709.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,289.7505798339844,1.058340311050415,259.1656799316406,248.65206909179688,5.69610071182251,2.261928081512451,300.0,0.426585001498461
20160720.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,291.10833740234375,1.053348183631897,261.125244140625,248.2252960205078,5.291456699371338,2.879427909851074,300.0,0.431597873251489
20160722.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,289.54229736328125,1.0528870820999146,262.1094055175781,246.5118408203125,3.2459208965301514,2.049095392227173,300.0,0.410170835753282
20160723.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,289.906494140625,1.0526357889175415,260.26177978515625,243.5110626220703,0.4814679026603699,1.9677993059158325,300.0,0.405752086391052
20160725.0,1.409999966621399,40.0,9.0,0.10000000149011612,0.15600000321865082,0.10999999940395355,0.19755834341049194,0.9241778254508972,287.4895324707031,1.052196741104126,255.88446044921875,244.5893096923828,1.5922577381134033,2.4791393280029297,300.0,0.423886112040944
